stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9022021483221002,Landafors kraftverk,61.273267,16.617966,0,9021021483221000,B
9022021483222001,Herte,61.265093,16.405320,0,9021021483222000,A
9022021483222002,Herte,61.264948,16.405615,0,9021021483222000,B
9022021483223001,Hisnäs,61.322382,16.471260,0,9021021483223000,A
9022021483223002,Hisnäs,61.322307,16.471893,0,9021021483223000,B
9022021483224001,Hullsta,61.255610,16.629137,0,9021021483224000,A
9022021483224002,Hullsta,61.256199,16.629711,0,9021021483224000,B
9022021483225001,Hå,61.237568,16.417589,0,9021021483225000,A
9022021483225002,Hå,61.237810,16.417613,0,9021021483225000,B
9022021483226001,Hå skola,61.243089,16.417324,0,9021021483226000,A
9022021483226002,Hå skola,61.242424,16.417423,0,9021021483226000,B
9022021483227001,Hårga,61.266573,16.545604,0,9021021483227000,A
9022021483227002,Hårga,61.267404,16.544562,0,9021021483227000,B
9022021483228001,Hällagården,61.233496,16.558290,0,9021021483228000,A
9022021483228002,Hällagården,61.233240,16.558973,0,9021021483228000,B
9022021483229001,Hällbo,61.219475,16.421798,0,9021021483229000,A
9022021483229002,Hällbo,61.219465,16.421928,0,9021021483229000,B
9022021483230001,Innantjära,61.251024,16.580431,0,9021021483230000,A
9022021483230002,Innantjära,61.250980,16.581771,0,9021021483230000,B
9022021483231001,Jakobs,61.325821,16.469148,0,9021021483231000,A
9022021483231002,Jakobs,61.325820,16.469354,0,9021021483231000,B
9022021483233001,Johanneses,61.314029,16.488910,0,9021021483233000,A
9022021483233002,Johanneses,61.314092,16.488874,0,9021021483233000,B
9022021483234001,Kilafors station,61.230329,16.569329,0,9021021483234000,A
9022021483234002,Kilafors station,61.230346,16.569385,0,9021021483234000,B
9022021483234042,Kilafors station,61.230619,16.570416,0,9021021483234000,2
9022021483234043,Kilafors station,61.230331,16.570595,0,9021021483234000,3
9022021483235001,Sör,61.223128,16.574701,0,9021021483235000,A
9022021483235002,Sör,61.221853,16.577946,0,9021021483235000,B
9022021483236001,Klockarbacken,61.230618,16.418609,0,9021021483236000,A
9022021483236002,Klockarbacken,61.230644,16.418665,0,9021021483236000,B
9022021483237001,Knisselbo,61.208853,16.448214,0,9021021483237000,A
9022021483237002,Knisselbo,61.208880,16.448047,0,9021021483237000,B
9022021483238001,Kolmätars,61.217535,16.503587,0,9021021483238000,A
